yyyymm,Index,D12,E12,b/m,tbl,AAA,BAA,lty,ntis,Rfree,infl,ltr,corpr,svar,csp,CRSP_SPvw,CRSP_SPvwx
199802,1049.34,15.593,39.6,0.1654630971,0.0509,0.0667,0.0725,0.0599,0.0120563774,0.0039,0.0018564356,-0.0072,-0.0007,0.0010533477,-0.000804846,0.071956,0.070303
199803,1101.75,15.641,39.54,0.181140396,0.0503,0.0672,0.0732,0.0602,0.0164888614,0.0039,0.0018529957,0.0025,0.0038,0.0011367858,-0.0007397901,0.051336,0.050104
199804,1111.75,15.744,39.35,0.1758729222,0.0495,0.0669,0.0733,0.0604,0.0164053658,0.0043,0.0018495684,0.0026,0.0053,0.001614764,-0.0009559644,0.011275,0.010232
199805,1090.82,15.847,39.16,0.1791022057,0.05,0.0669,0.073,0.0592,0.0190752061,0.004,0.0018461538,0.0182,0.0167,0.0009588233,-0.0008915195,-0.017674,-0.019206
199806,1133.84,15.95,38.97,0.178060606,0.0498,0.0653,0.0713,0.0576,0.0240105767,0.0041,0.0012285012,0.0228,0.0115,0.0020973439,-0.0011688478,0.04097,0.0398
199807,1120.67,16.0143,38.6767,0.1794381089,0.0496,0.0655,0.0715,0.0584,0.0253535652,0.004,0.0012269939,-0.004,-0.0056,0.0022281758,-0.0023045245,-0.010109,-0.011112
199808,957.28,16.0787,38.3833,0.2114320916,0.049,0.0652,0.0714,0.0547,0.0285190292,0.0043,0.0012254902,0.0465,0.0089,0.009333917,-0.0018568563,-0.143124,-0.144504
199809,1017.01,16.143,38.09,0.2032484042,0.0461,0.064,0.0709,0.0517,0.0240829091,0.0046,0.0012239902,0.0395,0.0413,0.0099710169,-0.0016339078,0.063176,0.061612
199810,1098.67,16.1603,37.9633,0.1855190768,0.0396,0.0637,0.0718,0.054,0.0207400892,0.0032,0.0024449878,-0.0218,-0.019,0.0051715275,-0.0013748512,0.080111,0.079144
199811,1163.63,16.1777,37.8367,0.1748468445,0.0441,0.0641,0.0734,0.0535,0.0220035773,0.0031,0.0,0.0097,0.027,0.0019366789,-0.0012152598,0.062164,0.060685
199812,1229.23,16.195,37.71,0.1736113154,0.0439,0.0622,0.0723,0.0542,0.0200570294,0.0038,-0.0006097561,-0.0032,0.001,0.0032868972,-0.0010338728,0.059673,0.058454
199901,1279.64,16.2797,37.9333,0.1703206191,0.0434,0.0624,0.0729,0.0536,0.0155876993,0.0035,0.0024405125,0.0121,0.0123,0.0033356136,-0.0012959934,0.0428,0.042
199902,1238.33,16.3643,38.1567,0.1712768096,0.0444,0.064,0.0739,0.0587,0.0184466675,0.0035,0.0012172855,-0.052,-0.0401,0.0034821497,-0.0011728518,-0.031935,-0.033156
199903,1286.37,16.449,38.38,0.1728971707,0.0444,0.0662,0.0753,0.0592,0.0206681224,0.0043,0.0030395137,-0.0008,0.0002,0.0032135873,-0.0010753509,0.038979,0.037774
199904,1335.18,16.4487,39.26,0.1568258764,0.0429,0.0664,0.0748,0.0594,0.0251812663,0.0037,0.0072727273,0.0021,-0.0024,0.002726626,-0.0012580821,0.037559,0.036771
199905,1301.84,16.4483,40.14,0.1602311354,0.045,0.0693,0.0772,0.0615,0.0258974347,0.0034,0.0,-0.0185,-0.0176,0.0030856487,-0.0011522804,-0.023159,-0.024833
199906,1372.71,16.448,41.02,0.1542274468,0.0457,0.0723,0.0802,0.0627,0.0188685806,0.004,0.0,-0.0078,-0.016,0.0024092465,-0.0011446288,0.054431,0.053398
