date,dp,ep,bm,ntis,tbl,tms,dfy,svar
1987-10-01,-3.3641236158984342,-2.7309056187756764,0.4948508425,0.0104777401,0.0613,0.0313,0.010999999999999996,0.0709451379
1987-11-01,-3.2691869018783395,-2.6089203016843836,0.538027324,0.0098984399,0.0569,0.0362,0.012200000000000003,0.0067854547
1987-12-01,-3.33382473087961,-2.6475112898982296,0.5088120155,0.013274756,0.0577,0.0343,0.011800000000000005,0.0068521879
1988-01-01,-3.3681741866094006,-2.6666000925320086,0.5037738354,0.0084227445,0.0581,0.0271,0.011900000000000008,0.009157508
1988-02-01,-3.403893118536805,-2.6874275610592147,0.4761973721,0.0087922636,0.0566,0.028800000000000006,0.012200000000000003,0.0019673463
1988-03-01,-3.3647497287730466,-2.633779459326458,0.5075299538,0.0060800302,0.057,0.0331,0.011800000000000005,0.0016591988
1988-04-01,-3.363759824459478,-2.5894027322268336,0.4964744899,0.0050636719,0.0591,0.0338,0.012300000000000005,0.0034595611
1988-05-01,-3.3566557344470906,-2.5415641928363066,0.4967702548,0.0013473054,0.0626,0.032600000000000004,0.011399999999999993,0.0025557732
1988-06-01,-3.388842573347275,-2.535372806313768,0.4711188723,-0.0053979214,0.0646,0.0271,0.011400000000000007,0.0023613077
1988-07-01,-3.3751410221230684,-2.513774609178307,0.4739915349,-0.0028231284,0.0673,0.027400000000000008,0.01150000000000001,0.0019106187
1988-08-01,-3.327579248902544,-2.4584905234875607,0.4966406615,-0.0062397522,0.0706,0.024400000000000005,0.01100000000000001,0.0013903193
1988-09-01,-3.3583987461256246,-2.4817854913249597,0.4775404537,-0.0100015137,0.0724,0.019299999999999998,0.010800000000000004,0.0011927398
1988-10-01,-3.373861769970614,-2.4925711769725534,0.4695971889,-0.0104624725,0.0735,0.015400000000000011,0.008999999999999994,0.0016315424
1988-11-01,-3.344732790241863,-2.458869334543814,0.4771791101,-0.0077649556,0.0776,0.01469999999999999,0.010300000000000004,0.0013479967
